Year,URN,Rationalised_School_Type,Yr_Group,Pupils,Actual/Projection/Historic,Phase
201920,150202,02 - Mainstream - Primary,EY 1,19.0,Historic,Early Years
202021,150202,02 - Mainstream - Primary,EY 1,7.0,Historic,Early Years
202122,150202,02 - Mainstream - Primary,EY 1,3.0,Historic,Early Years
202223,150202,02 - Mainstream - Primary,EY 1,9.0,Historic,Early Years
202324,150202,02 - Mainstream - Primary,EY 1,3.0,Actual,Early Years
202425,150202,02 - Mainstream - Primary,EY 1,3.0,Projections,Early Years
202526,150202,02 - Mainstream - Primary,EY 1,3.0,Projections,Early Years
202627,150202,02 - Mainstream - Primary,EY 1,3.0,Projections,Early Years
202728,150202,02 - Mainstream - Primary,EY 1,3.0,Projections,Early Years
202021,100225,02 - Mainstream - Primary,EY 1,3.0,Historic,Early Years
202122,100225,02 - Mainstream - Primary,EY 1,4.0,Historic,Early Years
202223,100225,02 - Mainstream - Primary,EY 1,14.0,Historic,Early Years
202324,100225,02 - Mainstream - Primary,EY 1,17.0,Actual,Early Years
202425,100225,02 - Mainstream - Primary,EY 1,16.0,Projections,Early Years
202526,100225,02 - Mainstream - Primary,EY 1,16.0,Projections,Early Years
202627,100225,02 - Mainstream - Primary,EY 1,15.0,Projections,Early Years
202728,100225,02 - Mainstream - Primary,EY 1,16.0,Projections,Early Years
201920,100397,02 - Mainstream - Primary,EY 1,12.0,Historic,Early Years
201920,100434,02 - Mainstream - Primary,EY 1,5.0,Historic,Early Years
202122,100397,02 - Mainstream - Primary,EY 1,6.0,Historic,Early Years
202122,100434,02 - Mainstream - Primary,EY 1,4.0,Historic,Early Years
202223,100397,02 - Mainstream - Primary,EY 1,4.0,Historic,Early Years
202223,100434,02 - Mainstream - Primary,EY 1,9.0,Historic,Early Years
202324,100397,02 - Mainstream - Primary,EY 1,4.0,Actual,Early Years
202425,100397,02 - Mainstream - Primary,EY 1,4.0,Projections,Early Years
202526,100397,02 - Mainstream - Primary,EY 1,4.0,Projections,Early Years
202627,100397,02 - Mainstream - Primary,EY 1,4.0,Projections,Early Years
202728,100397,02 - Mainstream - Primary,EY 1,4.0,Projections,Early Years
201920,100225,02 - Mainstream - Primary,EY 2,10.0,Historic,Early Years
202021,100225,02 - Mainstream - Primary,EY 2,14.0,Historic,Early Years
202122,100225,02 - Mainstream - Primary,EY 2,18.0,Historic,Early Years
202223,100225,02 - Mainstream - Primary,EY 2,13.0,Historic,Early Years
202324,100225,02 - Mainstream - Primary,EY 2,27.0,Actual,Early Years
202425,100225,02 - Mainstream - Primary,EY 2,25.0,Projections,Early Years
202526,100225,02 - Mainstream - Primary,EY 2,24.0,Projections,Early Years
202627,100225,02 - Mainstream - Primary,EY 2,23.0,Projections,Early Years
202728,100225,02 - Mainstream - Primary,EY 2,23.0,Projections,Early Years
201920,100397,02 - Mainstream - Primary,EY 2,24.0,Historic,Early Years
202021,100397,02 - Mainstream - Primary,EY 2,31.0,Historic,Early Years
202122,100397,02 - Mainstream - Primary,EY 2,23.0,Historic,Early Years
202223,100397,02 - Mainstream - Primary,EY 2,14.0,Historic,Early Years
202324,100397,02 - Mainstream - Primary,EY 2,10.0,Actual,Early Years
202425,100397,02 - Mainstream - Primary,EY 2,9.0,Projections,Early Years
202526,100397,02 - Mainstream - Primary,EY 2,9.0,Projections,Early Years
202627,100397,02 - Mainstream - Primary,EY 2,8.0,Projections,Early Years
202728,100397,02 - Mainstream - Primary,EY 2,8.0,Projections,Early Years
201920,100434,02 - Mainstream - Primary,EY 2,15.0,Historic,Early Years
202021,100434,02 - Mainstream - Primary,EY 2,4.0,Historic,Early Years
202122,100434,02 - Mainstream - Primary,EY 2,8.0,Historic,Early Years
202223,100434,02 - Mainstream - Primary,EY 2,10.0,Historic,Early Years
202324,100434,02 - Mainstream - Primary,EY 2,21.0,Actual,Early Years
202425,100434,02 - Mainstream - Primary,EY 2,19.0,Projections,Early Years
202526,100434,02 - Mainstream - Primary,EY 2,19.0,Projections,Early Years
202627,100434,02 - Mainstream - Primary,EY 2,19.0,Projections,Early Years
202728,100434,02 - Mainstream - Primary,EY 2,19.0,Projections,Early Years
201920,109502,02 - Mainstream - Primary,EY 2,4.0,Historic,Early Years
202021,109502,02 - Mainstream - Primary,EY 2,2.0,Historic,Early Years
202122,109502,02 - Mainstream - Primary,EY 2,2.0,Historic,Early Years
202223,109502,02 - Mainstream - Primary,EY 2,2.0,Historic,Early Years
202324,109502,02 - Mainstream - Primary,EY 2,4.0,Actual,Early Years
202425,109502,02 - Mainstream - Primary,EY 2,4.0,Projections,Early Years
202526,109502,02 - Mainstream - Primary,EY 2,4.0,Projections,Early Years
202627,109502,02 - Mainstream - Primary,EY 2,4.0,Projections,Early Years
202728,109502,02 - Mainstream - Primary,EY 2,5.0,Projections,Early Years
201920,150202,02 - Mainstream - Primary,EY 2,8.0,Historic,Early Years
202021,150202,02 - Mainstream - Primary,EY 2,14.0,Historic,Early Years
202122,150202,02 - Mainstream - Primary,EY 2,16.0,Historic,Early Years
202223,150202,02 - Mainstream - Primary,EY 2,16.0,Historic,Early Years
202324,150202,02 - Mainstream - Primary,EY 2,18.0,Actual,Early Years
202425,150202,02 - Mainstream - Primary,EY 2,17.0,Projections,Early Years
202526,150202,02 - Mainstream - Primary,EY 2,17.0,Projections,Early Years
202627,150202,02 - Mainstream - Primary,EY 2,17.0,Projections,Early Years
202728,150202,02 - Mainstream - Primary,EY 2,18.0,Projections,Early Years
201920,100408,02 - Mainstream - Primary,EY 2,10.0,Historic,Early Years
202122,100408,02 - Mainstream - Primary,EY 2,10.0,Historic,Early Years
202223,100408,02 - Mainstream - Primary,EY 2,8.0,Historic,Early Years
202324,100408,02 - Mainstream - Primary,EY 2,11.0,Actual,Early Years
202425,100408,02 - Mainstream - Primary,EY 2,10.0,Projections,Early Years
202526,100408,02 - Mainstream - Primary,EY 2,9.0,Projections,Early Years
202627,100408,02 - Mainstream - Primary,EY 2,9.0,Projections,Early Years
202728,100408,02 - Mainstream - Primary,EY 2,9.0,Projections,Early Years
202021,131096,02 - Mainstream - Primary,EY 2,1.0,Historic,Early Years
202122,131096,02 - Mainstream - Primary,EY 2,5.0,Historic,Early Years
202223,131096,02 - Mainstream - Primary,EY 2,10.0,Historic,Early Years
202324,131096,02 - Mainstream - Primary,EY 2,12.0,Actual,Early Years
202425,131096,02 - Mainstream - Primary,EY 2,11.0,Projections,Early Years
202526,131096,02 - Mainstream - Primary,EY 2,11.0,Projections,Early Years
202627,131096,02 - Mainstream - Primary,EY 2,11.0,Projections,Early Years
202728,131096,02 - Mainstream - Primary,EY 2,11.0,Projections,Early Years
202122,101280,02 - Mainstream - Primary,EY 2,22.0,Historic,Early Years
202223,101280,02 - Mainstream - Primary,EY 2,13.0,Historic,Early Years
202324,100483,02 - Mainstream - Primary,EY 2,3.0,Actual,Early Years
202324,101280,02 - Mainstream - Primary,EY 2,20.0,Actual,Early Years
202425,100483,02 - Mainstream - Primary,EY 2,3.0,Projections,Early Years
202425,101280,02 - Mainstream - Primary,EY 2,20.0,Projections,Early Years
202526,100483,02 - Mainstream - Primary,EY 2,3.0,Projections,Early Years
202526,101280,02 - Mainstream - Primary,EY 2,21.0,Projections,Early Years
202627,100483,02 - Mainstream - Primary,EY 2,3.0,Projections,Early Years
202627,101280,02 - Mainstream - Primary,EY 2,21.0,Projections,Early Years
202728,100483,02 - Mainstream - Primary,EY 2,3.0,Projections,Early Years
202728,101280,02 - Mainstream - Primary,EY 2,22.0,Projections,Early Years
202425,100218,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,100439,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,102568,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,102583,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,103698,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,106290,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,107615,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,108352,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,108822,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,109140,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,109451,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,109472,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,109481,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,110481,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,111389,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,112256,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,112272,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,112287,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,112290,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,112316,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,113064,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,113126,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,113164,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,113367,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,113804,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,114114,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,115949,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,117942,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,117983,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,117997,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,119228,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,119405,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,119608,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,122180,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,122188,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,122196,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,123457,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,123508,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,123537,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,123541,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,123754,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,131125,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,131192,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,132086,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,133676,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,134343,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,135790,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,136269,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,136601,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,137025,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,137182,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,137290,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,137825,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,137853,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,138310,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,139089,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,139090,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,139091,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,139120,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,139195,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,139479,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,139870,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,140056,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,140355,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,140444,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,140477,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,140672,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,140871,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,140983,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,141115,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,141463,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,141636,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,141828,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,142074,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,142142,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,142503,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,142551,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,142714,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,142953,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,143099,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,143153,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,143158,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,143442,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,143445,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,143543,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,143607,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,143821,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,143833,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,144298,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,144418,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,144521,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,144535,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,144647,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,144849,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,144987,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,145199,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,145210,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,145330,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,145338,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,145346,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,145762,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,145770,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,145956,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,145983,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,146395,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,146498,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,146897,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,146917,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,146937,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,147241,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,147434,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,147584,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,147729,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,147797,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,147823,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,148061,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,148234,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,148336,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,148570,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,148764,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,148906,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,148970,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,149077,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,149090,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,149120,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,149409,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,149850,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,150132,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,150267,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,150490,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,151003,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,151004,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,151307,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,151431,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,151468,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202425,151469,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,100270,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,100439,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,102568,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,102583,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,103698,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,106290,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,107615,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,108352,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,108822,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,109140,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,109451,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,109472,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,109481,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,110481,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,111389,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,112256,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,112272,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,112287,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,112316,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,113064,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,113126,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,113164,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,113804,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,114114,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,115949,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,117942,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,117983,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,117997,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,119228,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,119405,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,119608,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,122180,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,122188,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,122196,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,122656,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,123457,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,123508,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,123537,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,123754,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,131125,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,131192,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,132086,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,133676,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,134343,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,135790,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,136269,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,136601,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,137025,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,137182,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,137290,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,137825,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,137853,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,138310,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,139090,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,139091,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,139120,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,139195,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,139479,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,139870,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,140056,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,140355,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,140444,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,140672,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,140871,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,140983,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,141115,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,141463,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,141828,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,142074,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,142142,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,142312,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,142503,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,142551,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,142714,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,143099,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,143153,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,143158,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,143442,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,143534,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,143543,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,143607,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,143821,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,143833,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,144298,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,144418,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,144521,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,144535,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,144849,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,144923,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,144987,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,145199,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,145210,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,145330,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,145338,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,145346,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,145762,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,145770,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,145956,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,145983,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,146395,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,146498,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,146897,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,146917,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,146937,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,147434,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,147584,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,147729,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,147797,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,147823,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,148061,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,148234,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,148336,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,148570,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,148764,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,148906,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,148970,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,149090,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,149120,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,149409,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,149850,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,150132,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,150267,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,150490,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,151003,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,151431,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,151468,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202526,151469,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202627,100020,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202627,100270,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202627,100439,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202627,102568,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202627,102583,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202627,103698,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202627,106290,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202627,107615,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202627,108352,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202627,108822,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202627,109140,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202627,109451,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202627,109472,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202627,109481,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202627,111247,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202627,111389,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202627,112256,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202627,112272,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202627,112287,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
202627,112316,02 - Mainstream - Primary,N 1,2.0,Projections,Early Years
